"","X","round","region","area","fs","impound","impound2","treat","treat2","night","day","month","year","jdate","time","length","obs","sora","vira","yera","kira","rail"
"632",632,4,"nw","scnwr","nwr","sgc","sgc",NA,NA,1.1,18,10,2013,292,1.27,3,"JF",3,0,0,0,3
"633",633,4,"nw","scnwr","nwr","sgc","sgc",NA,NA,3.1,20,10,2013,294,1.33,1.7,"A",11,0,0,0,11
"634",634,4,"nw","scnwr","nwr","sgc","sgc",NA,NA,3.2,20,10,2013,294,0.83,1.9,"JF",3,0,0,0,3
"635",635,1,"nw","scnwr","nwr","sgd","sgd","L","L",2.2,13,8,2014,226,0.483333333,3.0571,"A",0,0,0,0,0
"636",636,1,"nw","scnwr","nwr","sgd","sgd","L","L",2.1,13,8,2014,226,0.766666667,3.218,"N",0,0,0,0,0
"637",637,2,"nw","scnwr","nwr","sgd","sgd","L","L",1.1,30,8,2014,242,0.383333333,3,"A",0,0,0,0,0
"638",638,2,"nw","scnwr","nwr","sgd","sgd","L","L",1.2,30,8,2014,242,0.633333333,3.3,"N",2,0,0,0,2
"639",639,2,"nw","scnwr","nwr","sgd","sgd","L","L",2.1,1,9,2014,244,0.666666666,3.7,"A",1,0,0,0,1
"640",640,3,"nw","scnwr","nwr","sgd","sgd","L","L",2.1,19,9,2014,263,0.3,1.4,"A",8,0,0,0,8
"641",641,3,"nw","scnwr","nwr","sgd","sgd","L","L",2.2,19,9,2014,263,0.5,2,"N",2,0,0,0,2
"642",642,4,"nw","scnwr","nwr","sgd","sgd","L","L",2.1,9,10,2014,283,0.5,2.4,"N",4,0,0,0,4
"643",643,4,"nw","scnwr","nwr","sgd","sgd","L","L",2.2,9,10,2014,283,0.6,2.4,"A",7,0,0,0,7
"644",644,1,"nw","scnwr","nwr","sgd","sgd",NA,NA,3.2,16,8,2013,229,0.5,1.8,"D",0,0,0,0,0
"645",645,1,"nw","scnwr","nwr","sgd","sgd",NA,NA,3.2,16,8,2013,229,0.5,1.8,"N",0,0,0,0,0
"646",646,3,"nw","scnwr","nwr","sgd","sgd",NA,NA,2.1,25,9,2013,269,0.5,1.3,"D",3,0,0,0,3
"647",647,3,"nw","scnwr","nwr","sgd","sgd",NA,NA,2.2,25,9,2013,269,0.25,0.9,"N",0,0,0,0,0
"648",648,4,"nw","scnwr","nwr","sgd","sgd",NA,NA,1.1,18,10,2013,292,0.33,1.5,"JF",0,0,0,0,0
"649",649,4,"nw","scnwr","nwr","sgd","sgd",NA,NA,3.1,20,10,2013,294,0.35,1.1,"JF",1,0,0,0,1
"650",650,1,"nw","scnwr","nwr","sge","sge",NA,NA,3.2,16,8,2013,229,0.33,1.1,"D",0,0,0,0,0
"651",651,1,"nw","scnwr","nwr","sge","sge",NA,NA,3.1,16,8,2013,229,0.33,1.1,"N",0,0,0,0,0
"652",652,2,"nw","scnwr","nwr","sge","sge",NA,NA,1.1,1,9,2013,245,0.5,1.5,"D",0,0,0,0,0
"653",653,2,"nw","scnwr","nwr","sge","sge",NA,NA,1.2,1,9,2013,245,0.58,1.5,"N",0,0,0,0,0
"654",654,3,"nw","scnwr","nwr","sge","sge",NA,NA,2.1,25,9,2013,269,0.3,1.4,"D",2,0,0,0,2
"655",655,3,"nw","scnwr","nwr","sge","sge",NA,NA,2.2,25,9,2013,269,0.5,1.4,"N",3,0,0,0,3
"656",656,4,"nw","scnwr","nwr","sge","sge",NA,NA,1.1,18,10,2013,292,0.27,1.6,"JF",0,0,0,0,0
"657",657,2,"nc","slnwr","nwr","sl","sl",NA,NA,3,9,9,2012,253,1,3,"A",12,0,0,0,12
"658",658,1,"nc","slnwr","nwr","sl","sl",NA,NA,1.2,19,8,2013,232,1,2,"D",0,0,0,0,0
"659",659,1,"nc","slnwr","nwr","sl","sl",NA,NA,1.1,19,8,2013,232,0.83,2.9,"N",0,0,0,0,0
"660",660,1,"nc","slnwr","nwr","sl","sl",NA,NA,2.1,20,8,2013,233,0.67,2.4,"M",0,0,0,0,0
"661",661,2,"nc","slnwr","nwr","sl","sl",NA,NA,2.2,7,9,2013,251,1,2.4,"D",2,0,0,0,2
"662",662,2,"nc","slnwr","nwr","sl","sl",NA,NA,2.1,7,9,2013,251,1,3.4,"N",0,0,0,0,0
"663",663,2,"nc","slnwr","nwr","sl","sl",NA,NA,3.1,9,9,2013,253,0.75,1.9,"A",0,0,0,0,0
"664",664,3,"nc","slnwr","nwr","sl","sl",NA,NA,1.1,26,9,2013,270,0.5,1.6,"A",0,0,0,0,0
"665",665,3,"nc","slnwr","nwr","sl","sl",NA,NA,1.2,26,9,2013,270,0.5,2.3,"M",1,0,0,0,1
"666",666,3,"nc","slnwr","nwr","sl","sl",NA,NA,2.1,27,9,2013,271,0.5,1.6,"N",1,0,0,0,1
"667",667,4,"nc","slnwr","nwr","sl","sl",NA,NA,2.1,25,10,2013,299,0.75,2.1,"JF",0,0,0,0,0
"668",668,4,"nc","slnwr","nwr","sl","sl",NA,NA,4.1,27,10,2013,301,0.5,1.8,"A",0,0,0,0,0
"669",669,1,"ne","tsca","ca","ts11a","ts11a",NA,NA,1,24,8,2012,237,2,3,"M",3,0,0,0,3
"670",670,2,"ne","tsca","ca","ts11a","ts11a",NA,NA,1,11,9,2012,255,2,3,"A",0,1,0,0,1
"671",671,2,"ne","tsca","ca","ts11a","ts11a",NA,NA,2,12,9,2012,256,2,3,"L",8,0,0,0,8
"672",672,1,"ne","tsca","ca","ts2a","ts2a","E","E",2.2,23,8,2014,236,0.45,1.9308,"N",1,0,0,0,1
"673",673,2,"ne","tsca","ca","ts2a","ts2a","E","E",1.2,8,9,2014,251,0.3,2,"A",1,0,0,0,1
"674",674,2,"ne","tsca","ca","ts2a","ts2a","E","E",1.1,8,9,2014,251,0.5,1.9,"N",3,0,0,0,3
"675",675,3,"ne","tsca","ca","ts2a","ts2a","E","E",1.1,27,9,2014,271,0.5,1.8,"N",2,0,0,0,2
"676",676,3,"ne","tsca","ca","ts2a","ts2a","E","E",1.2,27,9,2014,271,0.5,1.8,"A",0,0,0,0,0
"677",677,4,"ne","tsca","ca","ts2a","ts2a","E","E",3.1,15,10,2014,288,0.75,2,"A",0,0,0,0,0
"678",678,1,"ne","tsca","ca","ts4a","ts4a","E","E",2.1,23,8,2014,236,0.5,3.0571,"A",0,0,0,0,0
"679",679,2,"ne","tsca","ca","ts4a","ts4a","E","E",1.1,8,9,2014,251,0.6,3.3,"A",0,0,0,0,0
"680",680,2,"ne","tsca","ca","ts4a","ts4a","E","E",1.2,8,9,2014,251,0.5,2.5,"N",0,0,0,0,0
"681",681,3,"ne","tsca","ca","ts4a","ts4a","E","E",1.1,27,9,2014,271,0.5,1.9,"A",2,0,0,0,2
"682",682,3,"ne","tsca","ca","ts4a","ts4a","E","E",1.2,27,9,2014,271,0.5,2,"N",1,0,0,0,1
"683",683,1,"ne","tsca","ca","ts4a","ts4a",NA,NA,1,24,8,2012,237,2,1.3,"J",1,0,0,0,1
"684",684,2,"ne","tsca","ca","ts4a","ts4a",NA,NA,1,11,9,2012,255,2,1.32,"J",20,0,0,0,20
"685",685,2,"ne","tsca","ca","ts4a","ts4a",NA,NA,2,12,9,2012,256,2,1.32,"M",13,0,0,0,13
"686",686,4,"ne","tsca","ca","ts4a","ts4a","E","E",3.2,15,10,2014,288,0.75,3,"A",0,0,0,0,0
"687",687,3,"ne","tsca","ca","ts6a","ts6a","L","L",1.1,27,9,2014,271,0.45,3.6,"N",2,0,0,0,2
"688",688,3,"ne","tsca","ca","ts6a","ts6a","L","L",1.2,27,9,2014,271,0.83,4.2,"A",0,0,0,0,0
"689",689,1,"ne","tsca","ca","ts6a","ts6a","L","L",2.1,23,8,2014,236,0.916666667,5.7924,"A",5,0,0,0,5
"690",690,2,"ne","tsca","ca","ts6a","ts6a","L","L",1.2,8,9,2014,251,0.5,4.7,"A",0,0,0,0,0
"691",691,2,"ne","tsca","ca","ts6a","ts6a","L","L",1.1,8,9,2014,251,0.83,3.7,"N",3,0,0,0,3
"692",692,4,"ne","tsca","ca","ts6a","ts6a","L","L",3.1,15,10,2014,288,0.75,2,"A",0,0,0,0,0
"693",693,1,"ne","tsca","ca","ts8a","ts8a","C","L",2.2,23,8,2014,236,0.9,4.1834,"N",7,0,0,0,7
"694",694,2,"ne","tsca","ca","ts8a","ts8a","C","L",1.1,8,9,2014,251,0.6,5.4,"A",0,0,0,0,0
"695",695,2,"ne","tsca","ca","ts8a","ts8a","C","L",1.2,8,9,2014,251,0.6,3.4,"N",0,0,0,0,0
"696",696,3,"ne","tsca","ca","ts8a","ts8a","C","L",1.1,27,9,2014,271,0.6,3.6,"A",0,0,0,0,0
"697",697,3,"ne","tsca","ca","ts8a","ts8a","C","L",1.2,27,9,2014,271,0.75,3.7,"N",0,0,0,0,0
"698",698,4,"ne","tsca","ca","ts8a","ts8a","C","L",3.2,15,10,2014,288,0.75,3,"A",0,0,0,0,0
"699",699,1,"nw","nvca","state","rail","rail","early","e",1.1,11,8,2015,223,0.75,1.1,"hp",3,0,0,0,3
"700",700,1,"nw","nvca","state","sanctuary","sanctuarysouth","late","l",2.1,12,8,2015,224,2.5,4.4,"hp",1,0,0,0,1
"701",701,1,"nw","nvca","state","ash","ash","control","c",2.2,12,8,2015,224,0.6,1.1,"hp",0,0,0,0,0
"702",702,1,"nw","scnwr","fed","sgb","sgb","control","c",3.1,13,8,2015,225,0.5,1.2,"hp",0,0,0,0,0
"703",703,1,"nw","scnwr","fed","sgd","sgd","early","e",3.2,13,8,2015,225,1,1.3,"hp",0,0,0,0,0
"704",704,1,"nw","nvca","state","rail","rail","early","e",4.1,15,8,2015,227,1,1.8,"af",9,0,0,0,9
"705",705,1,"nw","nvca","state","sanctuary","sanctuarysouth","late","l",4.2,15,8,2015,227,0.5,0.9,"af",1,0,0,0,1
"706",706,1,"nw","nvca","state","sanctuary","sanctuarynorth","late","l",4.2,15,8,2015,227,0.6,1.9,"af",1,0,0,0,1
"707",707,1,"nw","nvca","state","rail","rail","early","e",4.2,15,8,2015,227,1,1.7,"hp",8,0,0,0,8
"708",708,1,"nw","nvca","state","sanctuary","sanctuarysouth","late","l",4.1,15,8,2015,227,1,1.8,"hp",0,0,0,0,0
"709",709,1,"nw","nvca","state","sanctuary","sanctuarynorth","late","l",4.1,15,8,2015,227,0.6,2,"hp",0,0,0,0,0
"710",710,1,"nw","scnwr","fed","scmsu2","scmsu2","late","l",5.1,17,8,2015,229,0.6,2.7,"hp",0,0,0,0,0
"711",711,1,"nw","scnwr","fed","scmsu3","scmsu3","control","c",5.1,17,8,2015,229,0.6,2.3,"hp",0,0,0,0,0
"712",712,1,"nw","scnwr","fed","sgb","sgb","control","c",5.1,17,8,2015,229,0.5,1.9,"af",0,0,0,0,0
"713",713,1,"nw","scnwr","fed","sgd","sgd","early","e",5.1,17,8,2015,229,0.75,3.1,"af",3,0,0,0,3
"714",714,1,"nw","scnwr","fed","scmsu2","scmsu2","late","l",5.2,17,8,2015,229,0.3,1.6,"af",0,0,0,0,0
"715",715,1,"nw","scnwr","fed","scmsu3","scmsu3","control","c",5.2,17,8,2015,229,0.5,2.8,"af",0,0,0,0,0
"716",716,1,"nw","scnwr","fed","sgb","sgb","control","c",5.2,17,8,2015,229,0.6,3.1,"hp",0,0,0,0,0
"717",717,1,"nw","scnwr","fed","sgd","sgd","early","e",5.2,17,8,2015,229,0.75,1.2,"hp",0,0,0,0,0
"718",718,1,"nc","slnwr","fed","m13","m13","early","e",1.1,19,8,2015,231,1.5,5.3,"af",2,0,0,0,2
"719",719,1,"nc","slnwr","fed","m11","m11","control","c",1.1,19,8,2015,231,0.6,2.7,"hp",1,0,0,0,1
"720",720,1,"nc","slnwr","fed","m10","m10","late","l",1.1,19,8,2015,231,0.75,2.8,"hp",1,0,0,0,1
"721",721,1,"nc","slnwr","fed","m13","m13","early","e",1.2,19,8,2015,231,1.25,4.3,"hp",0,0,0,0,0
"722",722,1,"nc","slnwr","fed","m11","m11","control","c",1.2,19,8,2015,231,0.25,0.8,"af",0,0,0,0,0
"723",723,1,"nc","slnwr","fed","m10","m10","late","l",1.2,19,8,2015,231,0.5,1.8,"af",1,0,0,0,1
"724",724,1,"nc","fgca","state","pool2","pool2","early","e",2.1,20,8,2015,232,0.25,0.5,"hp",0,0,0,0,0
"725",725,1,"nc","fgca","state","pool2w","pool2w","late","l",2.1,20,8,2015,232,0.6,1.7,"hp",3,0,0,0,3
"726",726,1,"nc","fgca","state","pool2","pool2","early","e",2.1,20,8,2015,232,0.5,1.4,"af",3,0,0,0,3
"727",727,1,"nc","fgca","state","pool2w","pool2w","late","l",3.1,21,8,2015,233,1.5,6.1,"hp",12,0,0,0,12
"728",728,1,"nc","fgca","state","pool2","pool2","early","e",3.1,21,8,2015,233,1,3,"af",3,0,0,0,3
"729",729,1,"nc","fgca","state","pool2w","pool2w","late","l",3.2,21,8,2015,233,1.5,5.7,"af",6,0,0,0,6
"730",730,1,"nc","fgca","state","pool2","pool2","early","e",3.2,21,8,2015,233,1,3.4,"hp",1,0,0,0,1
"731",731,1,"ne","tsca","state","ts2a","ts2a","late","l",1.1,24,8,2015,236,0.3,1.5,"af",4,0,0,0,4
"732",732,1,"ne","tsca","state","ts4a","ts4a","late","l",1.1,24,8,2015,236,0.5,2,"af",2,0,0,0,2
"733",733,1,"ne","tsca","state","ts8a","ts8a","early","e",1.2,24,8,2015,236,1.5,3,"af",5,0,0,0,5
"734",734,1,"ne","tsca","state","ts2a","ts2a","late","l",1.2,24,8,2015,236,0.5,1.7,"hp",2,0,0,0,2
"735",735,1,"ne","tsca","state","ts4a","ts4a","late","l",1.2,24,8,2015,236,0.5,2,"hp",1,0,0,0,1
"736",736,1,"ne","tsca","state","ts8a","ts8a","early","e",1.1,24,8,2015,236,1.5,5.3,"hp",11,0,0,0,11
"737",737,1,"ne","tsca","state","ts6a","ts6ta","control","c",1.2,24,8,2015,236,0.5,1.5,"hp",2,0,0,0,2
"738",738,1,"ne","bkca","state","kt2","kt2","control","c",2.1,25,8,2015,237,0.6,3.1,"hp",0,0,0,0,0
"739",739,1,"ne","bkca","state","kt5","kt5","control","e",2.1,25,8,2015,237,0.6,2.2,"hp",2,0,0,0,2
"740",740,1,"ne","bkca","state","kt6","kt6","control","c",2.1,25,8,2015,237,0.6,2.7,"af",0,0,0,0,0
"741",741,1,"ne","bkca","state","kt9","kt9","control","l",2.1,25,8,2015,237,0.65,2.2,"af",6,0,0,0,6
"742",742,1,"ne","bkca","state","kt2","kt2","control","c",2.2,25,8,2015,237,0.75,4.1,"af",1,0,0,0,1
"743",743,1,"ne","bkca","state","kt5","kt5","control","e",2.2,25,8,2015,237,0.5,2.3,"af",1,0,0,0,1
"744",744,1,"ne","bkca","state","kt6","kt6","control","c",2.2,25,8,2015,237,0.6,2.8,"hp",2,0,0,0,2
"745",745,1,"ne","bkca","state","kt9","kt9","control","l",2.2,25,8,2015,237,0.75,2.8,"hp",4,0,0,0,4
"746",746,1,"ne","ccnwr","fed","ccmsu2","ccmsu2","early","e",3.1,26,8,2015,238,1.5,5.3,"af",1,0,0,0,1
"747",747,1,"ne","ccnwr","fed","ccmsu12","ccmsu12","control","c",3.1,26,8,2015,238,1.5,3.9,"hp",26,0,0,0,26
"748",748,1,"se","dcca","state","dc14","dc14","early","e",1.1,27,8,2015,239,0.75,2.8,"af",1,0,0,0,1
"749",749,1,"se","dcca","state","dc18","dc18","control","c",1.1,27,8,2015,239,0.5,2.4,"hp",0,0,0,0,0
"750",750,1,"se","dcca","state","dc20","dc20","control","c",1.1,27,8,2015,239,0.75,2.5,"af",0,0,0,0,0
"751",751,1,"se","dcca","state","dc22","dc22","late","l",1.1,27,8,2015,239,0.25,1,"hp",0,0,0,0,0
"752",752,1,"se","dcca","state","dc14","dc14","early","e",1.2,27,8,2015,239,0.75,2.1,"hp",5,0,0,0,5
"753",753,1,"se","dcca","state","dc18","dc18","control","c",1.2,27,8,2015,239,0.75,2.8,"af",0,0,0,0,0
"754",754,1,"se","dcca","state","dc20","dc20","control","c",1.2,27,8,2015,239,0.5,2.2,"hp",0,0,0,0,0
"755",755,1,"se","dcca","state","dc22","dc22","late","l",1.2,27,8,2015,239,0.5,2.4,"af",0,0,0,0,0
"756",756,1,"se","tmpca","state","pooli","pooli","late","l",2.1,28,8,2015,240,0.3,2.9,"af",0,0,0,0,0
"757",757,1,"se","tmpca","state","poole","poole","late","l",2.1,28,8,2015,240,1,3.1,"af",20,0,0,0,20
"758",758,1,"se","tmpca","state","poolc","poolc","late","l",2.1,28,8,2015,240,1.5,6.9,"hp",3,0,0,0,3
"759",759,1,"se","osca","state","os21","os21","early","e",3.1,29,8,2015,241,0.75,1.9,"af",1,0,0,0,1
"760",760,1,"se","osca","state","os21","os21","early","e",3.2,29,8,2015,241,1.5,7.3,"hp",0,0,0,0,0
"761",761,1,"se","osca","state","os21","os21","early","e",3.1,29,8,2015,241,1.5,6.4,"hp",0,0,0,0,0
"762",762,2,"nw","nvca","state","rail","rail","early","e",1.1,1,9,2015,243,1,2,"af",11,0,0,0,11
"763",763,2,"nw","nvca","state","sanctuary","sanctuarysouth","late","l",1.2,1,9,2015,243,0.6,1.8,"af",3,0,0,0,3
"764",764,2,"nw","nvca","state","sanctuary","sanctuarysouth","late","l",1.1,1,9,2015,243,0.75,2,"hp",3,0,0,0,3
"765",765,2,"nw","nvca","state","sanctuary","sanctuarynorth","late","l",1.1,1,9,2015,243,0.6,1.6,"hp",8,0,0,0,8
"766",766,2,"nw","nvca","state","rail","rail","early","e",1.2,1,9,2015,243,0.3,1.2,"hp",1,0,0,0,1
"767",767,2,"nw","scnwr","fed","sgd","sgd","early","e",2.1,3,9,2015,245,0.75,1.8,"hp",7,0,0,0,7
"768",768,2,"nw","scnwr","fed","sgb","sgb","control","c",2.1,3,9,2015,245,0.75,1.9,"hp",3,0,0,0,3
"769",769,2,"nw","scnwr","fed","scmsu2","scmsu2","late","l",2.2,3,9,2015,245,0.6,1.5,"hp",0,0,0,0,0
"770",770,2,"nw","scnwr","fed","scmsu3","scmsu3","control","c",2.2,3,9,2015,245,0.6,2.3,"hp",0,0,0,0,0
"771",771,2,"nc","fgca","state","pool2","pool2","early","e",1.1,4,9,2015,246,0.6,2.1,"hp",9,0,0,0,9
"772",772,2,"nc","fgca","state","pool2","pool2","early","e",1.2,4,9,2015,246,0.6,1.3,"af",8,0,0,0,8
"773",773,2,"nc","fgca","state","pool2w","pool2w","late","l",1.1,4,9,2015,246,1.5,3.9,"af",10,0,0,0,10
"774",774,2,"nc","fgca","state","pool2w","pool2w","late","l",1.1,4,9,2015,246,1.5,5.4,"hp",8,0,0,0,8
"775",775,2,"nc","slnwr","fed","m10","m10","late","l",2.2,9,9,2015,251,0.6,2,"hp",16,0,0,0,16
"776",776,2,"nc","slnwr","fed","m11","m11","control","c",2.2,9,9,2015,251,0.6,2.5,"hp",9,0,0,0,9
"777",777,2,"nc","slnwr","fed","m13","m13","control","c",2.1,9,9,2015,251,1.2,3.1,"hp",9,2,0,0,9
"778",778,2,"ne","tsca","state","ts2a","ts2a","late","l",1.1,9,11,2015,253,0.3,1.2,"hp",1,0,0,0,1
"779",779,2,"ne","tsca","state","ts4a","ts4a","late","l",1.2,9,11,2015,253,0.5,2,"hp",3,0,0,0,3
"780",780,2,"ne","tsca","state","ts6a","ts6a","control","c",1.2,9,11,2015,253,0.75,3.2,"hp",1,0,0,0,1
"781",781,2,"ne","tsca","state","ts8a","ts8a","early","e",1.1,9,11,2015,253,0.75,2.8,"hp",7,0,0,0,7
"782",782,2,"ne","tsca","state","ts2a","ts2a","late","l",1.2,9,11,2015,253,0.5,1.5,"af",0,0,0,0,0
"783",783,2,"ne","tsca","state","ts4a","ts4a","late","l",1.1,9,11,2015,253,0.5,1.2,"af",2,0,0,0,2
"784",784,2,"ne","tsca","state","ts6a","ts6a","control","c",1.1,9,11,2015,253,0.75,2.3,"af",3,0,0,0,3
"785",785,2,"ne","tsca","state","ts8a","ts8a","early","e",1.2,9,11,2015,253,1,2.1,"af",2,0,0,0,2
"786",786,2,"ne","bkca","state","kt2","kt2","control","c",2.2,9,13,2015,254,0.5,1.8,"hp",0,0,0,0,0
"787",787,2,"ne","bkca","state","kt5","kt5","early","e",2.2,9,13,2015,254,0.5,1.1,"hp",24,0,0,0,24
"788",788,2,"ne","bkca","state","kt6","kt6","control","c",2.1,9,13,2015,254,0.75,3.6,"hp",1,0,0,0,1
"789",789,2,"ne","bkca","state","kt9","kt9","late","l",2.1,9,13,2015,254,0.5,1.4,"hp",1,0,0,0,1
"790",790,2,"ne","bkca","state","kt2","kt2","control","c",2.1,9,13,2015,254,1,2.5,"af",8,0,0,0,8
"791",791,2,"ne","bkca","state","kt6","kt6","control","c",2.2,9,13,2015,254,0.75,1.8,"af",1,0,0,0,1
"792",792,2,"ne","bkca","state","kt9","kt9","late","l",2.2,9,13,2015,254,0.5,1,"af",0,0,0,0,0
"793",793,2,"ne","ccnwr","fed","ccmsu2","ccmsu2","control","c",3.1,9,14,2015,255,1.5,4.4,"af",0,0,0,0,0
"794",794,2,"ne","ccnwr","fed","ccmsu2","ccmsu2","control","c",3.2,9,14,2015,255,1.5,5.9,"hp",3,0,0,0,3
"795",795,2,"ne","ccnwr","fed","ccmsu12","ccmsu12","early","e",3.1,9,14,2015,255,1,3,"hp",1,0,0,0,1
"796",796,2,"se","dcca","state","dc14","dc14","early","e",1.2,9,16,2015,257,0.6,1.8,"af",3,0,0,0,3
"797",797,2,"se","dcca","state","dc18","dc18","control","c",1.1,9,16,2015,257,0.3,0.8,"af",2,0,0,0,2
"798",798,2,"se","dcca","state","dc22","dc22","late","l",1.1,9,16,2015,257,0.3,0.5,"af",0,0,0,0,0
"799",799,2,"se","dcca","state","dc14","dc14","early","e",1.1,9,16,2015,257,0.6,1.8,"hp",8,0,0,0,8
"800",800,2,"se","dcca","state","dc18","dc18","control","c",1.2,9,16,2015,257,0.5,1.6,"hp",3,0,0,0,3
"801",801,2,"se","dcca","state","dc20","dc20","control","c",1.1,9,16,2015,257,0.3,1.2,"hp",1,0,0,0,1
"802",802,2,"se","dcca","state","dc22","dc22","late","l",1.2,9,16,2015,257,0.5,2,"hp",0,0,0,0,0
"803",803,2,"se","tmpca","state","poole","poole","early","e",2.2,9,17,2015,258,0.5,1.6,"af",11,0,0,0,11
"804",804,2,"se","tmpca","state","poolc","poolc","control","c",2.1,9,17,2015,258,0.75,2.5,"af",1,0,0,0,1
"805",805,2,"se","tmpca","state","pooli","pooli","late","l",2.2,9,17,2015,258,0.25,1.1,"af",1,0,0,0,1
"806",806,2,"se","tmpca","state","poole","poole","early","e",2.1,9,17,2015,258,0.5,1.3,"hp",12,0,0,0,12
"807",807,2,"se","tmpca","state","poolc","poolc","control","c",2.2,9,17,2015,258,1,3.6,"hp",4,0,0,0,4
"808",808,2,"se","tmpca","state","pooli","pooli","late","l",2.1,9,17,2015,258,0.25,1.2,"hp",0,0,0,0,0
"809",809,2,"se","osca","state","os21","os21","early","e",3.1,9,18,2015,259,0.5,0.8,"af",1,0,0,0,1
"810",810,2,"se","osca","state","os21","os21","early","e",3.2,9,18,2015,259,1,2.5,"hp",1,0,0,0,1
"811",811,2,"se","osca","state","os23","os23","late","l",3.1,9,18,2015,259,1,4.1,"hp",0,0,0,0,0
"812",812,3,"nw","scnwr","fed","sgb","sgb","control","c",1.1,9,23,2015,266,0.5,1.2,"af",13,0,0,0,13
"813",813,3,"nw","scnwr","fed","sgd","sgd","early","e",1.1,9,23,2015,266,0.75,1.7,"af",37,0,0,0,37
"814",814,3,"nw","scnwr","fed","scmsu2","scmsu2","late","l",1.1,9,23,2015,266,0.6,1.5,"hp",1,0,0,0,1
"815",815,3,"nw","scnwr","fed","scmsu3","scmsu3","control","c",1.1,9,23,2015,266,0.6,2.3,"hp",0,0,0,0,0
"816",816,3,"nw","scnwr","fed","sgd","sgd","early","e",1.2,9,23,2015,266,0.25,0.5,"hp",5,0,0,0,5
"817",817,3,"nw","nvca","state","rail","rail","early","e",2.1,9,24,2015,267,0.75,2.1,"af",24,0,0,0,24
"818",818,3,"nw","nvca","state","sanctuary","sanctuary","late","l",2.2,9,24,2015,267,0.75,1.7,"af",14,0,0,0,14
"819",819,3,"nw","nvca","state","sanctuary","sanctuary","late","l",2.2,9,24,2015,267,0.75,1.5,"af",17,0,1,0,18
"820",820,3,"nw","nvca","state","rail","rail","early","e",2.2,9,24,2015,267,0.5,1.2,"hp",24,0,0,0,24
"821",821,3,"nw","nvca","state","sanctuary","sanctuary","late","l",2.1,9,24,2015,267,0.75,2.6,"hp",13,0,0,0,13
"822",822,3,"nw","nvca","state","sanctuary","sanctuary","late","l",2.1,9,24,2015,267,0.75,2.4,"hp",11,0,0,0,11
"823",823,3,"nc","fgca","state","pool2","pool2","early","e",1.1,9,26,2015,269,1,2,"hp",0,0,0,0,0
"824",824,3,"nc","fgca","state","pool2w","pool2w","late","l",1.1,9,26,2015,269,1.25,2.75,"af",29,0,0,0,29
"825",825,3,"nc","slnwr","fed","m10","m10","late","l",2.1,9,28,2015,271,0.75,2.6,"af",12,0,0,0,12
"826",826,3,"nc","slnwr","fed","m11","m11","control","c",2.1,9,28,2015,271,0.75,2.2,"af",9,0,0,0,9
"827",827,3,"nc","slnwr","fed","m13","m13","early","e",2.2,9,28,2015,271,0.75,2,"af",8,1,0,0,9
"828",828,3,"nc","slnwr","fed","m10","m10","late","l",2.2,9,28,2015,271,0.75,2.8,"hp",9,1,0,0,10
"829",829,3,"nc","slnwr","fed","m11","m11","control","c",2.2,9,28,2015,271,0.6,2.1,"hp",17,0,0,0,17
"830",830,3,"nc","slnwr","fed","m13","m13","early","e",2.1,9,28,2015,271,0.6,2.2,"hp",13,0,0,0,13
"831",831,3,"nc","fgca","state","pool2","pool2","early","e",3.1,9,29,2015,272,0.75,1.5,"af",4,0,0,0,4
"832",832,3,"nc","fgca","state","pool2w","pool2w","late","l",3.2,9,29,2015,272,1.5,4.1,"af",27,0,0,0,27
"833",833,3,"nc","fgca","state","pool2","pool2","early","e",3.2,9,29,2015,272,0.75,2.1,"hp",2,0,0,0,2
"834",834,3,"nc","fgca","state","pool2w","pool2w","late","l",3.1,9,29,2015,272,1.5,3.8,"hp",31,0,0,0,31
"835",835,3,"ne","ccnwr","fed","ccmsu2","ccmsu2","control","c",1.1,9,30,2015,273,1.25,3.6,"af",0,0,1,0,1
"836",836,3,"ne","ccnwr","fed","ccmsu12","ccmsu12","early","e",1.2,9,30,2015,273,0.75,2.4,"af",0,0,0,0,0
"837",837,3,"ne","ccnwr","fed","ccmsu2","ccmsu2","control","c",1.2,9,30,2015,273,1.5,5.1,"hp",0,0,0,0,0
"838",838,3,"ne","ccnwr","fed","ccmsu12","ccmsu12","early","e",1.1,9,30,2015,273,0.75,3.1,"hp",0,0,0,0,0
"839",839,3,"ne","tsca","state","ts2a","ts2a","late","l",2.2,10,1,2015,274,0.5,1,"af",2,0,0,0,2
"840",840,3,"ne","tsca","state","ts4a","ts4a","late","l",2.1,10,1,2015,274,0.5,1.7,"af",0,0,0,0,0
"841",841,3,"ne","tsca","state","ts6a","ts6a","control","c",2.2,10,1,2015,274,0.75,2.4,"af",5,0,0,0,5
"842",842,3,"ne","tsca","state","ts8a","ts8a","early","e",2.1,10,1,2015,274,0.75,2,"af",8,0,0,0,8
"843",843,3,"ne","tsca","state","ts2a","ts2a","late","l",2.1,10,1,2015,274,0.75,1.9,"hp",7,0,0,0,7
"844",844,3,"ne","tsca","state","ts4a","ts4a","late","l",2.2,10,1,2015,274,0.5,1.4,"hp",0,0,0,0,0
"845",845,3,"ne","tsca","state","ts6a","ts6a","control","c",2.1,10,1,2015,274,0.5,1.6,"hp",3,0,1,0,4
